day,open,high,low,close,volume,market_cap
20171030,7.28,7.4,7.13,7.25,"14,224,900","715,973,000"
20171029,7.16,7.44,7.15,7.3,"18,076,000","703,486,000"
20171028,7.49,7.54,7.17,7.18,"17,242,600","736,331,000"
20171027,7.65,8.12,7.42,7.46,"28,704,900","751,745,000"
20171026,7.66,7.8,7.48,7.65,"19,134,300","752,636,000"
20171025,8.12,8.14,7.56,7.62,"20,363,000","798,130,000"
20171024,7.59,8.7,7.38,8.13,"54,151,300","746,181,000"
20171023,7.65,7.66,7.12,7.61,"17,684,200","752,139,000"
20171022,7.37,7.78,7.36,7.67,"19,588,000","724,177,000"
20171021,7.31,7.46,6.99,7.37,"19,448,800","718,401,000"
20171020,7.9,7.91,7.29,7.31,"20,554,400","776,825,000"
20171019,7.82,8.08,7.68,7.92,"14,064,200","769,045,000"
20171018,7.97,8.08,7.66,7.84,"20,915,200","783,502,000"
20171017,7.86,8.24,7.69,7.99,"23,177,500","772,486,000"
20171016,8,8.1,7.6,7.85,"19,951,300","786,681,000"
20171015,8.03,8.24,7.67,7.97,"23,508,300","789,379,000"
20171014,8.31,8.38,7.99,8.03,"20,284,600","816,802,000"
20171013,8.19,8.68,7.98,8.3,"33,908,900","805,549,000"
20171012,9.26,9.53,8.18,8.2,"49,996,900","910,544,000"
20171011,8.12,9.42,8.12,9.26,"57,741,200","798,713,000"
20171010,7.49,8.39,7.28,8.09,"27,542,200","736,231,000"
20171009,7.78,8.1,7.03,7.5,"34,823,600","765,067,000"
20171008,8.54,8.61,7.62,7.7,"27,120,900","839,543,000"
20171007,8.66,8.69,8.14,8.54,"18,207,700","851,803,000"
20171006,8.82,8.89,8.49,8.66,"13,957,500","866,972,000"
20171005,8.67,8.97,8.23,8.8,"19,715,100","852,239,000"
20171004,9.26,9.27,8.6,8.66,"19,933,100","909,963,000"
20171003,9.19,9.27,8.53,9.24,"35,595,500","903,903,000"
20171002,9.82,9.99,9.07,9.2,"36,673,900","965,225,000"
20171001,10.11,10.15,9.57,9.82,"21,494,500","994,233,000"
20170930,9.74,10.27,9.68,10.12,"26,871,400","957,899,000"
20170929,10.47,10.58,9.19,9.75,"51,306,900","1,029,050,000"
20170928,10.35,11.48,10.07,10.49,"66,693,200","1,017,090,000"
20170927,9.78,10.52,9.77,10.34,"38,915,800","961,863,000"
20170926,10.01,10.27,9.69,9.76,"26,920,700","984,356,000"
20170925,8.66,10.38,8.63,10,"59,857,600","851,863,000"
20170924,9.01,9.12,8.53,8.66,"19,730,500","885,388,000"
20170923,8.66,9.36,8.43,9.03,"28,436,100","851,587,000"
20170922,8.13,8.96,7.93,8.65,"42,277,500","799,239,000"
20170921,9.12,9.39,7.75,8.12,"51,911,500","897,056,000"
20170920,9.92,9.95,9.11,9.11,"36,072,700","975,691,000"
20170919,11,11.03,9.68,9.92,"38,392,200","1,081,420,000"
20170918,9.88,11.34,9.88,10.98,"54,086,300","971,499,000"
20170917,9.9,10.31,8.98,9.87,"40,154,600","973,696,000"
20170916,9.96,10.65,9.34,9.93,"66,155,100","979,204,000"
20170915,8.13,10.39,6.57,9.95,"156,528,000","798,813,000"
20170914,10.58,11.06,7.67,8.08,"95,558,500","1,040,220,000"
20170913,11.68,11.7,9.55,10.61,"85,896,500","1,148,450,000"
20170912,11.37,13.45,11.21,11.59,"130,591,000","1,117,370,000"
20170911,11.42,11.98,11.09,11.33,"37,733,800","1,122,960,000"
20170910,12.29,12.29,10.76,11.4,"53,265,800","1,207,860,000"
20170909,11.38,12.22,10.88,12.22,"63,245,300","1,118,990,000"
20170908,12.91,13.39,10.66,11.45,"99,091,800","1,268,790,000"
20170907,11.65,13.53,10.77,12.87,"153,192,000","1,145,440,000"
20170906,10.96,11.79,10.49,11.64,"95,001,000","1,077,300,000"
